id,name,fed,sex,title,wtit,bday,gmYear,deceased,deathYear,revoked,revokedYear,revokedReason,birthCountry,birthCity,fedHistory,photo,photoSource,bio,bioSource,chesscom,chesscomPlayer,lichess,chessgames,website,x,instagram,youtube,twitch,facebook
1700014,"Andersson, Ulf",SWE,M,GM,,1951,1972,false,,false,,,SWE,Västerås,SWE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/UlfAndersson.jpg/250px-UlfAndersson.jpg,,,,,ulf-andersson,,12112,,,,,,
14103400,"Andreev, Eduard",UKR,M,GM,,1980,2005,false,,false,,,UKR,Sloviansk,UKR,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Andreev%2CEduard_2012-03-07.JPG/250px-Andreev%2CEduard_2012-03-07.JPG,,,,Gmedmundo,eduard-andreev,,56967,,,,,,
4158814,"Andreikin, Dmitry",FID,M,GM,,1990,2007,false,,false,,,RUS,Ryazan,RUS|FID,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Dmitry_Andreikin_Satka_2018.jpg/250px-Dmitry_Andreikin_Satka_2018.jpg,,,,FairChess_on_YouTube,dmitry-andreikin,Vladimirovich9000,49702,,,vladimirovich9000,UC_y-BTpEOK3p1RUVpx71KYg,,
13302000,"Andriasian, Zaven",ARM,M,GM,,1989,2006,false,,false,,,ARM,Yerevan,ARM,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Zaven_Andriasian_2012.jpg/250px-Zaven_Andriasian_2012.jpg,,,,Zaven_ChessMood,zaven-andriasian,Zaven_ChessMood,84227,,,,,,
602612,"Anic, Darko",FRA,M,GM,,1957,1999,false,,false,,,CRO,Zadar,FRA,,,,,zadarchess,darko-anic,,17308,,,,,,
4135229,"Anisimov, Pavel",MNE,M,GM,,1986,2019,false,,false,,,RUS,Leningrad,RUS|FID|MNE,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/PaulfromSPb.jpg/250px-PaulfromSPb.jpg,,,,PaulfromSPb,pavel-anisimov,PaulfromSPb,49079,,,,,,
700754,"Anka, Emil",HUN,M,GM,,1969,2001,false,,false,,,HUN,Békéscsaba,HUN,,,,,EmilAnka,emil-anka,,18196,,,,,,
5023335,"Ankit, R. Rajpara",IND,M,GM,,1994,2014,false,,false,,,IND,Ahmedabad,IND,,,,,Checkmate_107,ankit-rajpara,,117473,,,,,,
14000563,"Annaberdiyev, Meylis",TKM,M,GM,,1985,2022,false,,false,,,TKM,Büzmeýin,TKM,,,,,,meilis-annaberdiev,,53982,,,,,,
14000016,"Annageldyev, Orazly",TKM,M,GM,,1960,2005,false,,false,,,TKM,Büzmeýin,TKM,,,,,,orazly-annageldyev,,53020,,,,,,
